a1	阿啊
a2	嗄
ai1	哀埃挨欸
ai2	癌皑哎唉
ai3	矮
ai4	暧爱碍艾
an1	安庵氨鞍鹌
an3	俺
an4	岸按暗案胺
ang1	肮
ang2	昂
ao1	凹
ao2	敖熬獒翱螯鳌
ao3	拗袄咬
ao4	傲奥懊澳
ba1	叭扒疤笆粑芭
ba2	拔跋八巴吧爸
ba3	把钯靶
ba4	坝罢耙霸
bai1	擘
bai3	摆
bai4	拜败
ban1	扳搬斑班般颁
ban3	坂板版阪
ban4	伴办半扮瓣绊
bang1	帮梆邦
bang3	榜绑膀
bang4	傍棒磅蚌谤镑
bao1	包孢煲胞
bao3	保堡宝葆褓饱
bao4	报抱暴爆豹鮑鲍
bee1	呗
bee2	白百佰柏北
bei1	卑悲杯碑
bei4	倍备悖惫碚背蓓被贝辈
ben1	奔
ben3	本苯
ben4	渀笨
bi1	逼
bi2	鼻
bi3	匕彼比笔鄙
bi4	壁币庇弊弼必毕毙璧痹碧臂蔽避闭陛
bian1	砭编蝙边鞭
bian3	匾扁贬
bian4	便变辨辩辫遍
biao1	彪标镖镳飙
biao3	婊表裱
biao4	俵
bie1	憋鳖
bie2	别
bie3	瘪
bin1	宾彬斌槟滨濒缤兵冰
bin3	丙柄炳禀秉饼
bin4	殡并病
bo1	拨播波玻菠钵
bo2	亳伯勃博搏渤脖膊舶铂驳剥不
bo2	薄泊
bong1	崩绷
bong2	甭
bong4	泵蹦迸
bu1	卜
bu3	哺捕补
bu4	咘埠布怖步簿部
ca1	叉插
ca2	擦察查茬茶
ca4	岔差诧
cai1	猜拆
cai2	才材裁财柴
cai3	彩睬踩采
cai4	菜蔡
can1	参餐搀
can2	惭残蚕禅缠蝉蟾馋
can3	惨产铲阐
can4	掺灿璨忏颤
cang1	仓沧舱苍娼昌猖
cang2	藏偿嫦尝常肠
cang3	厂场敞
cang4	倡唱畅
cao1	操糙抄焯超钞
cao2	嘈曹槽漕嘲巢朝潮
cao3	草吵炒
cee1	车
cee3	扯
cee4	侧册厕恻测策
cee4	彻掣撤
cen1	琛郴撑称丞乘呈城成承晟橙澄程诚铖
cen2	层曾宸尘忱晨沉臣谌辰陈岑
cen3	逞惩
cen4	蹭衬趁
ci1	痴疵
ci2	吃坻弛持池迟驰慈瓷磁祠茨词辞雌
ci3	侈尺耻齿此
ci4	斥炽翅赤伺刺次赐
cong1	充冲忡匆聪葱
cong2	崇虫丛从
cong3	宠
cou1	抽
cou2	仇愁畴筹绸踌酬
cou3	丑瞅
cou4	臭凑
cu1	初粗
cu2	厨橱滁蜍躇除雏出
cu3	储楚础
cu4	处憷搐畜矗触促猝簇蹴醋
cuai1	揣
cuai4	踹
cuan1	川穿蹿
cuan2	传船
cuan3	喘
cuan4	串钏窜篡
cuang1	窗
cuang2	幢床
cuang3	闯
cuang4	创
cui1	吹催崔摧
cui2	垂捶椎锤
cui3	璀
cui4	悴淬粹翠脆萃
cun1	春村
cun2	唇淳纯醇鹑存
cun3	蠢
cun4	寸
cuo1	戳撮磋
cuo4	绰辍挫措错
da1	嗒耷
da2	哒沓答达搭
da3	打
da4	大
dai1	呆
dai3	歹逮
dai4	代埭岱带待怠戴袋贷黛
dan1	丹单担耽郸
dan3	疸胆
dan4	但弹旦氮淡蛋诞
dang1	当裆铛
dang3	党挡档
dang4	宕荡
dao1	刀叨
dao3	导岛捣祷蹈
dao4	倒到悼盗稻道
dee2	得德
den1	灯登
den3	等
den4	凳瞪邓
di1	低堤滴的
di2	嘀嫡敌涤狄笛翟迪
di3	底抵邸
di4	地帝弟第缔蒂递
dian1	巅滇甸癫颠
dian3	典点碘
dian4	佃垫奠店惦殿淀电钿靛
diao1	凋刁叼雕
diao4	吊掉调钓
die1	爹跌
die2	叠喋垤碟蝶谍迭
din1	丁叮盯酊钉
din3	顶鼎
din4	定订铤锭
diu1	丢
dong1	东冬咚
dong3	懂董
dong4	侗冻动栋洞
dou1	兜都
dou3	抖陡
dou4	斗痘窦豆逗
du1	嘟督
du2	毒渎独读
du3	堵睹笃赌
du4	妒度杜渡肚
duan1	端
duan3	短
duan4	断段缎锻
dui1	堆
dui4	兑对队
dun1	吨墩敦蹲
dun3	盹趸
dun4	沌炖盾钝顿
duo1	多
duo2	夺铎
duo3	垛朵躲
duo4	剁堕惰舵跺
ee2	诶
en1	恩
en2	嗯
en4	摁
er2	儿而
er3	尔洱耳饵
er4	二
fa2	乏伐垡罚阀发法
fan1	帆番翻蕃藩
fan2	凡樊烦繁
fan3	反返
fan4	泛犯范贩饭
fang1	方枋芳
fang2	妨房肪防
fang3	仿纺舫访坊
fang4	放
fei1	啡妃扉绯菲蜚霏非飞鲱
fei2	淝肥
fei3	匪悱斐翡诽
fei4	废沸痱肺费
fen1	分吩氛纷芬
fen2	坟汾焚
fen3	粉
fen4	份奋愤
fo2	佛
fong1	丰封峯峰枫沣烽疯蜂锋风
fong2	冯逢
fong3	讽
fong4	凤奉缝
fou3	否
fu1	夫孵敷肤
fu2	伏孚巿幅弗扶拂服浮福符芙蝠袱辐
